Возраст,женский,мужской,не определен
18-24,53,9073,70
25-34,1985,18689,189
35-44,2867,35242,491
45-54,2121,30138,326
младше 18,290,18729,634
не определен,1058,4768,1594
старше 55,3900,55628,1616
